id,nombre,unidad,categoria,tipo,stock_actual
c296,"AMPICILINA + SULBACTAM F.A. INY 1,5 MG (AMPIGEN)",un,A,medicamentos,510
c295,AMPICILINA 1 GR F. A. INY (COMUN),un,A,medicamentos,517
c298,ANFOTERICINA 50 MG EN LIPOSOMAS F. A. INY,un,A,medicamentos,5
c1746,ANFOTERICINA B 50 MG,un,A,medicamentos,0
c1010,ARGOCIAN (25 MCG AMP),amp,A,medicamentos,25
c1703,ATRACURIO,un,A,medicamentos,175
c299,ATROPINA 1 ML AMP,amp,A,medicamentos,328
c1149,AZITROMICINA 500 MG COMP,comp,A,medicamentos,111
c305,BACLOFENO COMP (10 MG),comp,B,medicamentos,60
c918,BACTRIM AMP,amp,B,medicamentos,201
c1227,BACTRIM COMP,comp,B,medicamentos,0
c732,BASOFORTINA COMP (ERGONOVINA),comp,B,medicamentos,0
c988,BECOZYM AMP,amp,B,medicamentos,46
c1120,BETAMETASONA GOTAS,un,B,medicamentos,42
c919,BETAMETASONA RETARD,un,B,medicamentos,85
c310,BICARBONATO DE SODIO SACHET (1 MOLAR X 100 ML),un,B,medicamentos,33
c313,BROMURO DE IPRATROPIO AEROSOL,un,B,medicamentos,27
c311,BROMURO DE IPRATROPIO GTAS (SOL NEB 20 ML),frasco,B,medicamentos,1
c1974,BROMURO DE IPRATROPIO/SALBUTAMOL,un,B,medicamentos,0
c314,BROMURO DE PANCURONIO (4 MG AMP X 2 ML),amp,B,medicamentos,188
c708,BROMURO DE VECURONIO (10 MG AMP),amp,B,medicamentos,45
c778,BUDESONIDE PUFF,un,B,medicamentos,9
c316,BUDESONIDE SOLUCION PARA NEBULIZAR,un,B,medicamentos,15
c318,"BUPIVACAINA (0,5% X 20 ML)",un,B,medicamentos,7
c426,"BUPIVACAINA HIPERVARICA (0,5% X 4 ML)",un,B,medicamentos,157
c920,CAFEINA (25% AMP A 1 ML),amp,C,medicamentos,133
c1084,CARBETOCIN (AMP X 1 ML),un,C,medicamentos,13
c1975,CARBON ACTIVADO,un,C,medicamentos,1
c1753,CARBOPLATINO 150 MG(MED.ONCOLOGICA),un,C,medicamentos,0
c921,CEFALOTINA 1 GR,un,C,medicamentos,903
c1977,CEFAZOLINA 1 GR,un,C,medicamentos,99
c1976,CEFOTAXIMA,un,C,medicamentos,0
c922,CEFTAZIDIMA (1G AMP),amp,C,medicamentos,69
c782,CEFTRIAXONA 1 GR,un,C,medicamentos,756
c134,CICLOFOSFAMIDA 1000 MG FA(MED.ONCOLOGICA),un,C,medicamentos,0
c923,CIPROFLOXACINA 500 MG COMP,comp,C,medicamentos,25
c924,CIPROFLOXACINA SACHET,un,C,medicamentos,250
c1394,CISPLATINO 50MG (MED.ONCOLOGICA),un,C,medicamentos,0
c1154,CITARABINA 1000 MG (MED.ONCOLOGICA),un,C,medicamentos,0
c1688,CITARABINA 100MG FA(MED.ONCOLOGICA),un,C,medicamentos,0
c873,CLARITROMICINA 500 MG COMP,comp,C,medicamentos,176
c1008,CLARITROMICINA EV (500 MG AMP),amp,C,medicamentos,5
c783,CLINDAMICINA 600 MG,un,C,medicamentos,5
c1366,CLONAZEPAM 2 MG COMP,comp,C,medicamentos,0
c784,CLONAZEPAN GOTAS,un,C,medicamentos,5
c1978,CLORPROMAZINA AMPOLLAS,amp,C,medicamentos,8
c785,CLORURO DE POTASIO,un,C,medicamentos,1132
c10242,COLISTINA AMP,amp,C,medicamentos,143
c1041,CREMA DE BISMUTO,pomo,C,medicamentos,16
c1681,DAUNORUBICINA 20 MG FCO AMP (MED.ONCOLOGICA),amp,D,medicamentos,0
c1601,DESMOPRESINA AMP,amp,D,medicamentos,20
c926,DEXAMETASONA,un,D,medicamentos,1349
c1216,DEXMEDETOMDINE FA X 2 ML (PRECEDEX),un,D,medicamentos,100
c10468,DIAZEPAM AMP,amp,D,medicamentos,126
c779,DICLOFENAC + PRIDINILOL COMP,comp,D,medicamentos,0
c927,DICLOFENAC 75 MG AMP,amp,D,medicamentos,534
c891,DICLOFENAC COMP,comp,D,medicamentos,370
c928,DIFENHIDRAMINA (10 MG AMP X 10 ML) (BENADRYL),amp,D,medicamentos,263
c695,DIGOXINA (INY X 1 ML),un,D,medicamentos,191
c786,DIPIRONA,un,D,medicamentos,751
c929,DOBUTAMINA 250 MG,un,D,medicamentos,100
c641,DOMPERIDONA GOTAS (EUCITON),un,D,medicamentos,12
c850,DOPAMINA 100 MG AMPOLLA,amp,D,medicamentos,207
c788,DOPAMINA 200 MG,un,D,medicamentos,158
c1685,DOXORUBICINA 50 MG FCO AMP (MED.ONCOLOGICA),amp,D,medicamentos,0
c2031,ENALAPRIL 10 G VO,un,E,medicamentos,30
c332,ENALAPRILATO AMP,amp,E,medicamentos,14
c930,ENOXAPARINA 40 MG,un,E,medicamentos,13
c931,ERGONOVINA AMP,amp,E,medicamentos,222
c1979,ERITROMICINA UNGÜENTO,un,E,medicamentos,199
c985,ERITROPROYETINA 2000 UI,un,E,medicamentos,2
c1912,ERITROPROYETINA 4000 UI,un,E,medicamentos,2
c10545,ESPIRONOLACTONA COMP,comp,E,medicamentos,1
c719,ESTREPTOQUINASA 1500000 UI,un,E,medicamentos,2
c333,ETILEFRINA,un,E,medicamentos,185
c1980,ETOPOSIDO 100 MG (MED.ONCOLOGICA),un,E,medicamentos,0
c932,FENITOINA AMP,amp,F,medicamentos,173
c975,FENOBARBITAL,un,F,medicamentos,0
c1083,FENOBARBITAL COMP,comp,F,medicamentos,50
c789,FENTANILO,un,F,medicamentos,7239
c1683,FILGRASTIM 30 MG FCO AMP,amp,F,medicamentos,9
c934,FLUCONAZOL COMP,comp,F,medicamentos,20
c976,FLUCONAZOL SACHET,un,F,medicamentos,52
c1981,FLUDARABINA (MED.ONCOLOGICA),un,F,medicamentos,0
c10639,FLUMAZENIL AMP,amp,F,medicamentos,12
c10483,FLUTICASONA SPRAY,un,F,medicamentos,0
c10476,FORTIFICADOR DE LECHE MATERNA (NUTRIPREM) SOBRES,un,F,medicamentos,0
c654,FOTORRETIN GOTAS,un,F,medicamentos,6
c790,FUROSEMIDA,un,F,medicamentos,661
c1153,FUROSEMIDA COMP,comp,F,medicamentos,35
c334,GAMMAGLOBULINA GAMMATET T500 (VACUNA ANTIT),un,G,medicamentos,0
c10701,GANCICLOVIR 500 MG AMP,amp,G,medicamentos,7
c1772,"GENTAMICINA 0,1% CREMA X 20 GR",pomo,G,medicamentos,0
c935,GENTAMICINA 400,un,G,medicamentos,72
c1925,GOTAS CICLOPENTOLATO,un,G,medicamentos,10
